X+++ Compiler - Version 2.0 - 2019
Reading from file testes/testeComErros . . .
Line: 2 Column: 1 public  public  38
Line: 2 Column: 8 class  class  13
Line: 2 Column: 14 testeCompila  <IDENT>  46
Line: 2 Column: 27 {  {  51
Line: 4 Column: 9 protect  <IDENT>  46
Line: 4 Column: 17 testeByte  <IDENT>  46
Line: 4 Column: 26 (  (  49
Line: 4 Column: 27 )  )  50
Line: 4 Column: 29 {  {  51
Line: 6 Column: 17 byte  byte  30
Line: 6 Column: 22 variavelByte1  <IDENT>  46
Line: 6 Column: 36 =  =  58
Line: 6 Column: 38 3  <int_constant>  41
Line 6 - Invalid string found: @
Line: 6 Column: 39 @  <INVALID_LEXICAL>  46
Line: 8 Column: 27 (  (  49
Line: 8 Column: 28 variavelByte1  <IDENT>  46
Line: 8 Column: 42 >  >  59
Line: 8 Column: 44 9  <int_constant>  41
Line: 8 Column: 45 )  )  50
Line: 8 Column: 47 {  {  51
Line: 9 Column: 33 print  print  21
Line: 9 Column: 38 (  (  49
Line: 9 Column: 39 variavelByte1  <IDENT>  46
Line: 9 Column: 52 )  )  50
Line: 9 Column: 53 ;  ;  55
Line: 11 Column: 9 }  }  52
Line: 13 Column: 9 privati  <IDENT>  46
Line: 13 Column: 17 testeShort  <IDENT>  46
Line: 13 Column: 27 (  (  49
Line: 13 Column: 28 )  )  50
Line: 13 Column: 30 {  {  51
Line: 15 Column: 17 short  short  31
Line: 15 Column: 23 variavelShort1  <IDENT>  46
Line: 15 Column: 38 =  =  58
Line: 15 Column: 40 0  <int_constant>  41
Line: 15 Column: 41 ,  ,  56
Line: 15 Column: 42 ,  ,  56
Line: 15 Column: 43 00085  <int_constant>  41
Line: 15 Column: 48 ;  ;  55
Line: 17 Column: 25 if  if  18
Line: 17 Column: 27 (  (  49
Line: 17 Column: 28 variavelShort1  <IDENT>  46
Line: 17 Column: 43 !=  !=  64
Line: 17 Column: 46 6  <int_constant>  41
Line: 17 Column: 47 ;  ;  55
Line: 17 Column: 48 8  <int_constant>  41
Line: 17 Column: 49 )  )  50
Line: 17 Column: 51 {  {  51
Line: 18 Column: 33 print  print  21
Line: 18 Column: 38 (  (  49
Line: 18 Column: 39 variavelShort1  <IDENT>  46
Line: 18 Column: 53 )  )  50
Line: 18 Column: 54 ;  ;  55
Line: 19 Column: 9 }  }  52
Line: 21 Column: 9 final  final  37
Line: 21 Column: 15 testeLong  <IDENT>  46
Line: 21 Column: 24 (  (  49
Line: 21 Column: 25 )  )  50
Line: 21 Column: 27 {  {  51
Line: 23 Column: 17 long  long  32
Line: 23 Column: 22 variavelLong1  <IDENT>  46
Line: 23 Column: 36 =  =  58
Line: 23 Column: 38 11837  <int_constant>  41
Line: 23 Column: 43 long  long  32
Line: 23 Column: 47 ;  ;  55
Line: 25 Column: 17 if  if  18
Line: 25 Column: 20 (  (  49
Line: 25 Column: 21 variavelLong1  <IDENT>  46
Line: 25 Column: 35 !=  !=  64
Line: 25 Column: 38 18837891L  <long_constant>  45
Line: 25 Column: 48 )  )  50
Line: 25 Column: 50 {  {  51
Line: 26 Column: 25 print  print  21
Line: 26 Column: 30 (  (  49
Line: 26 Column: 31 variavelLong1  <IDENT>  46
Line: 26 Column: 44 )  )  50
Line: 26 Column: 45 ;  ;  55
Line: 28 Column: 9 }  }  52
Line: 30 Column: 9 public  public  38
Line: 30 Column: 16 testeFloat  <IDENT>  46
Line: 30 Column: 26 (  (  49
Line: 30 Column: 27 )  )  50
Line: 30 Column: 29 {  {  51
Line: 32 Column: 17 float  float  33
Line: 32 Column: 23 variavelFloat1  <IDENT>  46
Line: 32 Column: 38 =  =  58
Line: 32 Column: 40 11  <int_constant>  41
Line: 32 Column: 42 ,  ,  56
Line: 32 Column: 43 83  <int_constant>  41
Line: 32 Column: 45 ;  ;  55
Line: 34 Column: 25 if  if  18
Line: 34 Column: 27 (  (  49
Line: 34 Column: 28 variavelFloat1  <IDENT>  46
Line: 34 Column: 43 <  <  60
Line: 34 Column: 45 18  <int_constant>  41
Line: 34 Column: 47 ;  ;  55
Line: 34 Column: 48 88  <int_constant>  41
Line: 34 Column: 51 )  )  50
Line: 34 Column: 53 {  {  51
Line: 35 Column: 33 print  print  21
Line: 35 Column: 38 (  (  49
Line: 35 Column: 39 variavelFloat1  <IDENT>  46
Line: 35 Column: 53 )  )  50
Line: 35 Column: 54 ;  ;  55
Line: 36 Column: 9 }  }  52
Line: 38 Column: 9 public  public  38
Line: 38 Column: 16 testeOperadoresLogicos  <IDENT>  46
Line: 38 Column: 38 (  (  49
Line: 38 Column: 39 )  )  50
Line: 38 Column: 41 {  {  51
Line: 40 Column: 15 boolean  boolean  34
Line: 40 Column: 23 a  <IDENT>  46
Line: 40 Column: 25 =  =  58
Line: 40 Column: 27 true  true  35
Line: 40 Column: 31 ;  ;  55
Line: 41 Column: 15 boolean  boolean  34
Line: 41 Column: 23 b  <IDENT>  46
Line: 41 Column: 25 =  =  58
Line: 41 Column: 27 false  false  36
Line: 41 Column: 32 ;  ;  55
Line: 43 Column: 15 print  print  21
Line: 43 Column: 20 (  (  49
Line: 43 Column: 21 a  <IDENT>  46
Line 43 - Invalid string found: &&&
Line: 43 Column: 22 &&&  <INVALID_LEXICAL>  46
Line: 43 Column: 26 )  )  50
Line: 43 Column: 27 ;  ;  55
Line: 44 Column: 15 print  print  21
Line: 44 Column: 20 (  (  49
Line: 44 Column: 21 a  <IDENT>  46
Line 44 - Invalid string found: |||
Line: 44 Column: 22 |||  <INVALID_LEXICAL>  46
Line: 44 Column: 26 )  )  50
Line: 44 Column: 27 ;  ;  55
Line: 45 Column: 15 print  print  21
Line: 45 Column: 20 (  (  49
Line: 45 Column: 21 !  !  29
Line: 45 Column: 22 !  !  29
Line: 45 Column: 23 (  (  49
Line: 45 Column: 24 a  <IDENT>  46
Line: 45 Column: 25 &&  &&  26
Line: 45 Column: 27 b  <IDENT>  46
Line: 45 Column: 28 )  )  50
Line: 45 Column: 29 )  )  50
Line: 45 Column: 30 ;  ;  55
Line: 46 Column: 15 print  print  21
Line: 46 Column: 20 (  (  49
Line: 46 Column: 21 a  <IDENT>  46
Line 46 - Invalid string found: ^^
Line: 46 Column: 22 ^^  <INVALID_LEXICAL>  46
Line: 46 Column: 25 )  )  50
Line: 46 Column: 26 ;  ;  55
Line: 47 Column: 12 }  }  52
Line: 49 Column: 1 }  }  52
Line: 50 Column: 1   <EOF>  0
4 Lexical Errors found

